,first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type,name
76,Justin,Kluivert,0,0,5,186,2,36.2,16,37,0,1,9,0,0,0,0.3,48,MID,Justin Kluivert
77,Jamal,Lowe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,MID,Jamal Lowe
78,Emiliano,Marcondes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,MID,Emiliano Marcondes
82,Dango,Ouattara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,MID,Dango Ouattara
83,Ben,Pearson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,MID,Ben Pearson
85,Joe,Rothwell,0,0,5,210,5,28.1,24.2,3,0,25,5.5,0,0,0,0,50,MID,Joe Rothwell
90,Marcus,Tavernier,0,1,4,19,1,10.3,17.4,2,0,16,3,0,0,0,0,54,MID,Marcus Tavernier
91,Hamed,Traore,0,0,2,36,1,14.7,12.6,28,0,7,5.5,0,0,0,0,49,MID,Hamed Traorè
98,Alex,Scott,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,MID,Alex Scott
99,Tyler,Adams,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,MID,Tyler Adams
100,Luis,Sinisterra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,MID,Luis Sinisterra
103,Shandon,Baptiste,0,0,1,18,0,0,2.2,0,0,3,0.2,0,0,0,1.6,44,MID,Shandon Baptiste
105,Mads,Bidstrup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,MID,Mads Bidstrup
106,Sergi,Canós Tenés,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,MID,Sergi Canós Tenés
109,Mikkel,Damsgaard,0,0,2,52,0,3.3,10.4,17,0,4,3.1,0,0,0,0.1,49,MID,Mikkel Damsgaard
110,Josh,Dasilva,0,0,1,9,0,0,0,2,0,3,0.1,0,0,0,0.1,48,MID,Josh Dasilva
116,Vitaly,Janelt,0,0,9,340,4,32,32.2,47,0,30,11.1,1,0,0,0.1,54,MID,Vitaly Janelt
117,Mathias,Jensen,1,1,19,289,4,126.1,82.2,36,3,75,24.4,2,0,1,0.7,54,MID,Mathias Jensen
118,Keane,Lewis-Potter,0,0,3,48,1,1.9,3,38,0,-1,4,0,0,0,0,49,MID,Keane Lewis-Potter
119,Bryan,Mbeumo,4,0,33,360,5,108.6,164,159,4,89,43.1,1,0,0,26.9,68,MID,Bryan Mbeumo
121,Christian,Noorgaard,0,1,12,329,5,67.6,80.8,41,0,61,19,1,0,0,0.2,55,MID,Christian Nørgaard
122,Frank,Onyeka,0,0,2,37,2,55.6,19.4,25,0,14,10,0,0,0,0,49,MID,Frank Onyeka
125,Kevin,Schade,1,1,18,237,2,41.5,48.2,58,2,38,14.6,1,0,0,0.2,54,MID,Kevin Schade
128,Ryan,Trevitt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,MID,Ryan Trevitt
130,Yegor,Yarmolyuk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,44,MID,Yegor Yarmolyuk
133,Michale,Olakigbe,0,0,1,8,0,0.8,0.6,7,0,1,0.8,0,0,0,0,45,MID,Michale Olakigbe
134,Ethan,Brierley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,MID,Ethan Brierley
135,Saman,Ghoddos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,MID,Saman Ghoddos
136,Simon,Adingra,1,0,8,35,2,14.7,42,50,0,28,10.7,0,0,0,0.3,50,MID,Simon Adingra
137,Steven,Alzate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,44,MID,Steven Alzate
138,Yasin,Ayari,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,MID,Yasin Ayari
